Model,Accuracy,Precision,Recall,F1 Score,Type
Random Forest,0.678125,0.6715581722035903,0.678125,0.6708837876349122,Traditional
Linear SVM,0.6677083333333333,0.6659066492364971,0.6677083333333333,0.6666364735593814,Traditional
Naive Bayes,0.6173611111111111,0.6127574186281467,0.6173611111111111,0.6134259430786106,Traditional
BERT,0.7007,0.7003,0.7007,0.7005,Modern
