Antecedent,Consequent,Support,Confidence,Lift
python,salary_high,0.062557497700092,0.6808510638297873,1.7077245027585322
cloud,salary_high,0.08728150873965042,0.6216216216216216,1.5591640096976123
agile,salary_high,0.050597976080956765,0.532043530834341,1.3344824182680788
"api, rest",salary_high,0.05048298068077277,0.47306034482758624,1.1865395900261582
git,salary_high,0.10568077276908924,0.44633317144244783,1.1195019494847207
rest,salary_low,0.12787488500459981,0.3127988748241913,1.1138816607171036
api,salary_high,0.14592916283348667,0.4437062937062937,1.112913161254667
aws,salary_high,0.11499540018399264,0.4083299305839118,1.024181446887135
api,salary_medium,0.10694572217111316,0.32517482517482516,1.0146107928669823
rest,salary_medium,0.12603495860165592,0.3082981715893108,0.9619522426051835
