Model,Accuracy,Precision,Recall,F1 Score,Train Time (sec)
Random Forest,0.678125,0.6715581722035903,0.678125,0.6708837876349122,18.191413164138794
Linear SVM,0.6677083333333333,0.6659066492364971,0.6677083333333333,0.6666364735593814,2.7165820598602295
Naive Bayes,0.6173611111111111,0.6127574186281467,0.6173611111111111,0.6134259430786106,0.2659640312194824
